item,perfect_match,within_1
root,89.9,95.5
seed,82,93.3
fruit,74.2,98.9
fish,71.9,95.5
large_mammal,70.8,89.9
soft_invert,67.4,86.5
plant,66.3,97.8
egg,64,92.1
small_mammal,61.8,95.5
bird,60.7,98.9
hard_invert,58.4,93.3
carrion,55.1,95.5
herptile,51.7,94.4
