"","nearest_1","nearest_2","nearest_3","nearest_4","nearest_5"
"Daphoenus","Canis_aureus","Arctictis_binturong","Canis_latrans","Lycalopex_culpaeus","Taxidea_taxus"
"Dinictis","Uncia_uncia","Neofelis_nebulosa","Panthera_pardus","Acinonyx_jubatus","Puma_concolor"
"Hoplophoneus_primaevus","Neofelis_nebulosa","Caracal_caracal","Uncia_uncia","Lynx_canadensis","Acinonyx_jubatus"
"Miacis","Conepatus_mesoleucus","Lycalopex_vetulus","Paguma_larvata","Otocyon_megalotis","Arctonyx_collaris"
"Promartes_lepidus","Vulpes_velox","Nandinia_binotata","Vulpes_macrotis","Pekania_pennanti","Vulpes_chama"
"Smilodon_californicus_PM_3702","Panthera_leo","Panthera_onca","Crocuta_crocuta","Puma_concolor","Panthera_pardus"
"Tomarctus","Canis_simensis","Canis_latrans","Chrysocyon_brachyurus","Gulo_gulo","Canis_aureus"
"Ursus_spelaeus","Ursus_maritimus","Ursus_arctos","Tremarctos_ornatus","Melursus_ursinus","Helarctos_malayanus"
