item,Species,wis
bird,Acinonyx_jubatus,2.104859379655335
bird,Ailuropoda_melanoleuca,1.75794646118005
bird,Ailurus_fulgens,1.861251546021357
bird,Arctictis_binturong,1.9809510674735873
bird,Arctonyx_collaris,2.0197163925009334
bird,Atilax_paludinosus,2.223911922313304
bird,Bassariscus_astutus,2.3600308247655812
bird,Bdeogale_jacksoni,1.4516464711374149
bird,Canis_adustus,2.2806625873708666
bird,Canis_aureus,2.405060239266825
bird,Canis_latrans,2.400137301640866
bird,Canis_lupus,2.1950392952319264
bird,Canis_mesomelas,2.4657806103340985
bird,Canis_simensis,2.322299804776505
bird,Caracal_caracal,2.7417708582751037
bird,Catopuma_temminckii,2.903985412251026
bird,Cerdocyon_thous,2.3874860826946955
bird,Chrysocyon_brachyurus,2.224941083443433
bird,Civettictis_civetta,2.0392357395420215
bird,Conepatus_mesoleucus,2.1393007541851206
bird,Crocuta_crocuta,1.9482171226327354
bird,Cryptoprocta_ferox,2.582922358895834
bird,Cuon_alpinus,2.4008692538107947
bird,Cynictis_penicillata,2.3623008218174166
bird,Eira_barbara,2.4404133779993935
bird,Enhydra_lutris,1.8247247490101512
bird,Felis_silvestris,3.098454156876693
bird,Fossa_fossana,2.0629382695210015
bird,Galictis_cuja,2.9095860408447503
bird,Gulo_gulo,2.25777399014694
bird,Helarctos_malayanus,1.780824428611575
bird,Helogale_parvula,2.3518460226623694
bird,Hyaena_hyaena,2.122410809387525
bird,Hydrictis_maculicollis,2.297609061780688
bird,Ichneumia_albicauda,1.9200906105658735
bird,Leopardus_wiedii,3.259653045833259
bird,Leptailurus_serval,3.2473851609414517
bird,Lontra_canadensis,1.9220666606264016
bird,Lutra_lutra,2.1360474120621884
bird,Lutrogale_perspicillata,2.10844250504222
bird,Lycalopex_culpaeus,2.4523775911050616
bird,Lycalopex_gymnocercus,2.494842444211534
bird,Lycalopex_sechurae,2.399059696081392
bird,Lycalopex_vetulus,2.295245135662042
bird,Lycaon_pictus,2.2742281332354906
bird,Lynx_canadensis,2.7939346736730855
bird,Martes_americana,2.752938360642487
bird,Mellivora_capensis,2.3640378573667804
bird,Melursus_ursinus,1.8001048335937124
bird,Mephitis_mephitis,2.3540086357594037
bird,Mungotictis_decemlineata,2.4950470646551186
bird,Nandinia_binotata,2.534556688764172
bird,Nasua_nasua,1.5229632692459192
bird,Nasuella_olivacea,1.2840701743495475
bird,Neofelis_nebulosa,2.6109848312384405
bird,Neovison_vison,2.8201619899838737
bird,Nyctereutes_procyonoides,2.512045043275124
bird,Otocyon_megalotis,1.956818426065104
bird,Paguma_larvata,2.1462107671165076
bird,Panthera_leo,1.6754696075244542
bird,Panthera_onca,1.9179297651445903
bird,Panthera_pardus,2.103460940874655
bird,Parahyaena_brunnea,2.0666196535448167
bird,Pekania_pennanti,2.433053550366752
bird,Potos_flavus,1.2445307814459527
bird,Prionailurus_bengalensis,3.3138574769400853
bird,Procyon_cancrivorus,1.8006651851028286
bird,Procyon_lotor,1.7899248798909742
bird,Proteles_cristatus,2.038316895012127
bird,Pteronura_brasiliensis,1.9522220093143583
bird,Puma_concolor,2.0795707000084693
bird,Speothos_venaticus,2.699920043920074
bird,Spilogale_putorius,2.6184233820309974
bird,Taxidea_taxus,2.2030197107929808
bird,Tremarctos_ornatus,1.8008478295471706
bird,Uncia_uncia,2.3107237913908705
bird,Urocyon_cinereoargenteus,2.5162515708879813
bird,Ursus_arctos,1.8160005628431877
bird,Ursus_maritimus,1.7709654939620483
bird,Viverra_zibetha,2.2015644162097945
bird,Viverricula_indica,2.2775098814379287
bird,Vulpes_chama,2.5999304635467344
bird,Vulpes_lagopus,2.797943199906224
bird,Vulpes_macrotis,2.6850845372613135
bird,Vulpes_rueppellii,2.641860414220804
bird,Vulpes_velox,2.85152084350044
bird,Vulpes_vulpes,2.6592033279924747
bird,Vulpes_zerda,2.611429944321445
carrion,Acinonyx_jubatus,1.4381038858814943
carrion,Ailuropoda_melanoleuca,2.1086101168978977
carrion,Ailurus_fulgens,1.5750800109223362
carrion,Arctictis_binturong,1.4877017182301842
carrion,Arctonyx_collaris,1.6617765994085227
carrion,Atilax_paludinosus,1.8265523451483237
carrion,Bassariscus_astutus,1.7657398707719751
carrion,Bdeogale_jacksoni,1.7635293454179528
carrion,Canis_adustus,2.379785804723651
carrion,Canis_aureus,2.414303284874678
carrion,Canis_latrans,2.392599373810761
carrion,Canis_lupus,2.3185747982120826
carrion,Canis_mesomelas,2.3647302837432433
carrion,Canis_simensis,2.2320563573787338
carrion,Caracal_caracal,1.5000520512464286
carrion,Catopuma_temminckii,1.504671594310632
carrion,Cerdocyon_thous,2.27262630995999
carrion,Chrysocyon_brachyurus,2.348120670093925
carrion,Civettictis_civetta,1.5986542872007794
carrion,Conepatus_mesoleucus,1.819911056332492
carrion,Crocuta_crocuta,2.387200069690875
carrion,Cryptoprocta_ferox,1.66637964902486
carrion,Cuon_alpinus,2.2950725109988337
carrion,Cynictis_penicillata,1.7594258336146462
carrion,Eira_barbara,1.987705098172752
carrion,Enhydra_lutris,1.6886961934101763
carrion,Felis_silvestris,1.4384082117573112
carrion,Fossa_fossana,1.6768559052621559
carrion,Galictis_cuja,1.5073739034854785
carrion,Gulo_gulo,2.3079634766427612
carrion,Helarctos_malayanus,2.004204640187556
carrion,Helogale_parvula,1.537121652554984
carrion,Hyaena_hyaena,2.5557221352615485
carrion,Hydrictis_maculicollis,1.4444917912059365
carrion,Ichneumia_albicauda,1.8326231682371878
