Species,bird,carrion,egg,fish,fruit,hard_invert,herptile,large_mammal,plant,root,seed,small_mammal,soft_invert
Tremarctos_ornatus,1.80084783,2.095165186,1.376538358,1.619790596,3.446571,2.387215333,1.210077557,2.124386138,3.34180046,1.542909919,1.449097487,2.055662636,2.005455679
Uncia_uncia,2.310723791,1.607647772,1.254812121,1.561410993,1.609959032,1.703660838,1.926738463,3.629159093,1.77268515,1.029429901,1.04533455,3.416540877,1.146110628
Urocyon_cinereoargenteus,2.516251571,2.124426481,1.684401987,1.407355409,3.322147802,3.250127137,2.197023498,1.302894315,1.767153226,1.135459535,1.578113477,3.382395199,2.177054214
Ursus_arctos,1.816000563,2.401341162,1.483732094,2.098644694,3.393708232,2.489639542,1.147135977,2.620628769,1,1.773860234,1.502582271,2.02578427,2.150781258
Ursus_maritimus,1.770965494,2.199187841,1.363730258,2.176081813,2,2.065185874,1.140790321,3.077692636,2.782709076,1.65617317,1.437266213,1.99215801,1.755460102
Viverra_zibetha,2.201564416,1.539212608,1.719509206,1.89452763,3.601215893,3.100789071,2.055340627,1.411143443,1.760564892,1.096769204,1.329929675,2.995909921,2.352681365
Viverricula_indica,2.277509881,1.431939122,1.734082351,1.733437283,3.655937563,3.653186211,2.561858524,1.090648957,2.200199515,1.104390309,1.242287091,3.199179708,3.043093829
Vulpes_chama,2.599930464,1.996886619,1.792601968,1.4275079,2.653085749,3.105200308,2.322654743,1.22990295,1.734132597,1.140775501,1.419829151,3.479385719,2.187794564
Vulpes_lagopus,2.7979432,2.194852272,1.651764603,1.663273228,2.361269437,2.713117788,2.250914232,1.540830454,1.594805409,1.110361147,1.339006622,3.715882115,1.970807521
Vulpes_macrotis,2.685084537,2.183845825,1.789257503,1.608561881,2.429642649,2.839829432,2.166739304,1.562084194,1.790639695,1.11244951,1.464651658,3.597007676,2.011630326
Vulpes_rueppellii,2.641860414,1.992349808,1.720413568,1.447468718,2.699231168,3.136308365,2.327368327,1.281434316,1.858007323,1.134051063,1.441916714,3.507711341,2.198756702
Vulpes_velox,2.851520844,2.163855782,1.667945658,1.547754072,2.399643413,2.954411545,2.387808442,1.271299566,1.587943429,1.121861515,1.412184351,3.749836609,2.112989118
Vulpes_vulpes,2.659203328,2.065561573,1.764028104,1.53849266,2.695285054,2.875250536,2.163999936,1.54742696,1.834137419,1.119183322,1.455196457,3.539498534,2.044085967
Vulpes_zerda,2.611429944,1.922291904,1.839011871,1.327763529,2.848928846,3.489882093,2.526792938,1.072314647,1.630670867,1.154619638,1.489025075,3.464421118,2.506984457
