Food,Metric,Intercept_1,Intercept_2,Intercept_3,Mass,Phylo_sd,RLGA,RLGA:Mass,m1_RFI,m1_RFI:Mass,m2_RFI,m2_RFI:Mass,m1_OPCr,m1_OPCr:Mass,m2_OPCr,m2_OPCr:Mass,m1_aDNE,m1_aDNE:Mass,m2_aDNE,m2_aDNE:Mass
Bird,RLGA,"-2.47 (-3.27, -1.76) ","0.57 (-0.04, 1.17) ","3.58 (2.66, 4.63) ","-0.86 (-1.28, -0.44) ","0.62 (0.08, 1.33) ","-1.25 (-1.75, -0.77) ","0.72 (0.32, 1.13) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carrion,RLGA,"-0.63 (-1.68, 0.31) ","1.61 (0.65, 2.64) ","3.55 (2.39, 4.83) ","0.24 (-0.22, 0.7) ","1.51 (0.64, 2.49) ","-0.17 (-0.76, 0.39) ","0.15 (-0.3, 0.62) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fish,RLGA,"0.46 (-0.8, 1.74) ","2.7 (1.41, 4.12) ","3.82 (2.4, 5.45) ","0.57 (-0.01, 1.18) ","2.1 (1.16, 3.18) ","-0.13 (-0.84, 0.55) ","0.34 (-0.2, 0.9) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fruit,RLGA,"-2.33 (-3.73, -1.01) ","-0.12 (-1.41, 1.15) ","1.57 (0.29, 2.92) ","-0.11 (-0.74, 0.48) ","2.46 (1.53, 3.48) ","1.38 (0.62, 2.16) ","-0.06 (-0.66, 0.54) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hard Invert,RLGA,"-2.84 (-3.96, -1.9) ","-0.7 (-1.58, 0.17) ","0.76 (-0.11, 1.75) ","-1.08 (-1.64, -0.59) ","1.15 (0.19, 2.41) ","1.35 (0.75, 2) ","-0.25 (-0.72, 0.22) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herptile,RLGA,"-1.31 (-1.9, -0.73) ","0.71 (0.16, 1.28) ","2.93 (2.18, 3.79) ","-1.03 (-1.45, -0.62) ","0.52 (0.04, 1.24) ","-0.37 (-0.79, 0.04) ","0.02 (-0.39, 0.41) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Large Mammal,RLGA,"0.66 (-0.14, 1.4) ","2.03 (1.25, 2.86) ","2.83 (1.99, 3.79) ","1.84 (1.24, 2.49) ","1.07 (0.3, 1.95) ","-1.67 (-2.43, -0.96) ","-0.06 (-0.65, 0.51) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Root,RLGA,"2.44 (1.7, 3.27) ","3.6 (2.61, 4.76) ",NA,"0.02 (-0.72, 0.77) ","0.71 (0.06, 1.78) ","0.74 (0.03, 1.44) ","0.37 (-0.3, 1.07) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seed,RLGA,"1.62 (0.94, 2.31) ","2.83 (2.04, 3.7) ","4.35 (3.06, 5.9) ","-0.46 (-1.08, 0.15) ","0.76 (0.1, 1.68) ","0.56 (-0.04, 1.15) ","0.6 (-0.03, 1.28) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small Mammal,RLGA,"-3.68 (-4.7, -2.73) ","-1.16 (-1.85, -0.41) ","0.35 (-0.32, 1.11) ","-1.04 (-1.5, -0.59) ","0.77 (0.12, 1.61) ","-1.84 (-2.45, -1.26) ","0.82 (0.34, 1.31) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soft Invert,RLGA,"-0.97 (-2.05, -0.08) ","0.63 (-0.36, 1.54) ","1.66 (0.65, 2.63) ","-0.98 (-1.53, -0.48) ","1.52 (0.54, 2.55) ","0.52 (-0.11, 1.12) ","0.11 (-0.43, 0.66) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
